Make,Model,Year,NHTSACampaignNumber,Component,Summary,Consequence,Remedy
Toyota,Camry,2024,24V128000,SEATS,Toyota is recalling certain 2023-2024 Camry and Camry Hybrid vehicles due to insufficiently welded head restraint brackets.,"Insufficiently welded head restraint brackets may not properly restrain occupants during a crash, increasing injury risk.","Dealers will replace the 60% rear seat-back frame sub-assembly, free of charge."
Ford,F-150,2024,24V329000,STEERING:COLUMN,Ford is recalling certain 2024 F-150 vehicles due to an incorrect fastener in the steering column lower shaft.,Loss of steering control increases the risk of a crash.,"Dealers will replace the lower steering shaft fastener, free of charge."
Ford,F-150,2024,24V486000,VISIBILITY:WINDSHIELD,"Windshields may not have been properly bonded, allowing them to detach during a crash.",A windshield that detaches during a crash increases the risk of injury.,"Dealers will remove and reinstall the windshield, free of charge."
Ford,F-150,2024,24V851000,ENGINE AND ENGINE COOLING:ENGINE:OIL/LUBRICATION,"Engines may have a misaligned cup plug, causing rapid oil leaks.","A rapid oil leak can result in an engine stall or fire, increasing the risk of a crash.","Dealers will inspect and replace the engine cup plug if necessary, free of charge."
Ford,F-150,2024,24V852000,EQUIPMENT:OTHER:LABELS,Air bag warning label may be missing from the dashboard.,"Without proper restraint usage guidelines, occupants may face an increased risk of injury during a crash.","Ford will mail owners the warning labels, free of charge."
Honda,Civic,2024,23V704000,STEERING:RACK AND PINION,Incorrectly assembled power steering rack may cause tire chafing and damage.,A damaged tire can fail and increase the risk of a crash.,"Dealers will inspect and replace the power steering rack as necessary, free of charge."
Honda,Civic,2024,24V744000,STEERING,Improperly manufactured steering gearbox assembly may cause difficulty steering.,Difficulty steering can increase the risk of a crash.,"Dealers will replace the worm gear spring and add grease as necessary, free of charge."
Honda,Civic,2024,24V859000,SEATS:CRITICAL FASTENERS,"Driver’s seat cushion frame may not have been tightened properly, causing unsecured seats.",An unsecured driver’s seat increases the risk of injury during a crash.,"Dealers will replace the driver’s seat cushion frame, free of charge."
Tesla,Model S,2024,24V376000,SEAT BELTS:FRONT:WARNING LIGHT/DEVICES,Seat belt warning light and chime may not activate for unbelted drivers.,Failure to alert occupants of unbelted seat belts increases the risk of injury during a crash.,Tesla will release an over-the-air software update.
Tesla,Model S,2024,24V554000,LATCHES/LOCKS/LINKAGES:HOOD:LATCH,Hood latch assembly may fail to detect an unlatched hood condition.,"An unlatched hood can fully open, obstructing the driver’s view and increasing the risk of a crash.","Tesla has released an over-the-air software update, free of charge."
Tesla,Model S,2024,24V967000,AIR BAGS:FRONTAL:DRIVER SIDE:CUSHION,Driver’s air bag may tear during deployment.,"A torn air bag may not adequately protect an occupant in a crash, increasing the risk of injury.","Tesla service will replace the air bag assembly, free of charge."
Tesla,Model S,2024,25V002000,BACK OVER PREVENTION:SOFTWARE,Circuit board failure may result in the loss of the rearview camera image.,"Loss of rearview camera image reduces rear visibility, increasing the risk of a crash.","Tesla will release an over-the-air software update, free of charge."
